 I    | PH(0 0), PH(0 1), PH(1 0), PH(1 1)  | PR(0 0), PR(0 1), PR(1 0), PR(1 1)  | AH(0), AH(1)  | AR(0), AR(1)
375|5.89596,0.244085,0.244085,0.0174649 | 7.22603,0.369592,0.369592,0.0297666 | -0.268317,-0.0273698 | -0.953575,-0.110222
376|5.89644,0.244106,0.244106,0.0174651 | 7.22732,0.369674,0.369674,0.0297708 | -0.26821,-0.0273526 | -0.953654,-0.110199
377|5.89693,0.244128,0.244128,0.0174653 | 7.22861,0.369757,0.369757,0.0297751 | -0.268103,-0.0273353 | -0.953732,-0.110175
378|5.89742,0.24415,0.24415,0.0174655 | 7.2299,0.36984,0.36984,0.0297793 | -0.267996,-0.0273181 | -0.953808,-0.110151
379|5.89791,0.244172,0.244172,0.0174657 | 7.23119,0.369922,0.369922,0.0297836 | -0.267888,-0.0273008 | -0.953882,-0.110128
380|5.89839,0.244193,0.244193,0.0174659 | 7.23247,0.370005,0.370005,0.0297878 | -0.26778,-0.0272835 | -0.953955,-0.110104
381|5.89888,0.244215,0.244215,0.0174661 | 7.23376,0.370087,0.370087,0.0297921 | -0.267672,-0.0272662 | -0.954026,-0.11008
382|5.89936,0.244237,0.244237,0.0174663 | 7.23505,0.37017,0.37017,0.0297963 | -0.267564,-0.0272489 | -0.954096,-0.110056
383|5.89985,0.244258,0.244258,0.0174665 | 7.23634,0.370252,0.370252,0.0298006 | -0.267456,-0.0272316 | -0.954165,-0.110031
384|5.90033,0.24428,0.24428,0.0174667 | 7.23762,0.370335,0.370335,0.0298048 | -0.267347,-0.0272143 | -0.954231,-0.110007
385|5.90082,0.244301,0.244301,0.0174669 | 7.23891,0.370417,0.370417,0.0298091 | -0.267238,-0.0271969 | -0.954297,-0.109982
386|5.9013,0.244323,0.244323,0.0174671 | 7.24019,0.370499,0.370499,0.0298133 | -0.267129,-0.0271796 | -0.954361,-0.109958
387|5.90179,0.244344,0.244344,0.0174673 | 7.24148,0.370581,0.370581,0.0298175 | -0.267019,-0.0271622 | -0.954423,-0.109933
388|5.90227,0.244366,0.244366,0.0174675 | 7.24276,0.370664,0.370664,0.0298217 | -0.26691,-0.0271449 | -0.954484,-0.109908
389|5.90275,0.244387,0.244387,0.0174677 | 7.24404,0.370746,0.370746,0.029826 | -0.2668,-0.0271275 | -0.954543,-0.109883
390|5.90323,0.244409,0.244409,0.0174679 | 7.24532,0.370828,0.370828,0.0298302 | -0.26669,-0.0271101 | -0.954601,-0.109858
391|5.90372,0.24443,0.24443,0.0174681 | 7.24661,0.37091,0.37091,0.0298344 | -0.266579,-0.0270928 | -0.954658,-0.109833
392|5.9042,0.244452,0.244452,0.0174683 | 7.24789,0.370992,0.370992,0.0298386 | -0.266469,-0.0270754 | -0.954712,-0.109807
393|5.90468,0.244473,0.244473,0.0174685 | 7.24917,0.371074,0.371074,0.0298428 | -0.266358,-0.027058 | -0.954766,-0.109782
394|5.90516,0.244495,0.244495,0.0174687 | 7.25045,0.371155,0.371155,0.029847 | -0.266247,-0.0270406 | -0.954818,-0.109756
395|5.90564,0.244516,0.244516,0.0174689 | 7.25172,0.371237,0.371237,0.0298512 | -0.266136,-0.0270232 | -0.954868,-0.10973
396|5.90612,0.244537,0.244537,0.0174691 | 7.253,0.371319,0.371319,0.0298554 | -0.266024,-0.0270057 | -0.954917,-0.109705
397|5.9066,0.244559,0.244559,0.0174693 | 7.25428,0.371401,0.371401,0.0298596 | -0.265913,-0.0269883 | -0.954964,-0.109679
398|5.90708,0.24458,0.24458,0.0174695 | 7.25556,0.371482,0.371482,0.0298638 | -0.265801,-0.0269709 | -0.95501,-0.109653
399|5.90756,0.244601,0.244601,0.0174697 | 7.25683,0.371564,0.371564,0.029868 | -0.265689,-0.0269534 | -0.955055,-0.109626
400|5.90804,0.244622,0.244622,0.0174699 | 7.25811,0.371645,0.371645,0.0298722 | -0.265576,-0.026936 | -0.955098,-0.1096
401|5.90852,0.244644,0.244644,0.0174701 | 7.25938,0.371727,0.371727,0.0298764 | -0.265464,-0.0269185 | -0.955139,-0.109573
402|5.90899,0.244665,0.244665,0.0174703 | 7.26066,0.371808,0.371808,0.0298806 | -0.265351,-0.0269011 | -0.955179,-0.109547
403|5.90947,0.244686,0.244686,0.0174704 | 7.26193,0.37189,0.37189,0.0298847 | -0.265238,-0.0268836 | -0.955217,-0.10952
404|5.90995,0.244707,0.244707,0.0174706 | 7.2632,0.371971,0.371971,0.0298889 | -0.265125,-0.0268661 | -0.955254,-0.109493
405|5.91042,0.244728,0.244728,0.0174708 | 7.26447,0.372052,0.372052,0.0298931 | -0.265012,-0.0268486 | -0.95529,-0.109466
406|5.9109,0.244749,0.244749,0.017471 | 7.26574,0.372133,0.372133,0.0298973 | -0.264898,-0.0268311 | -0.955324,-0.109439
407|5.91138,0.244771,0.244771,0.0174712 | 7.26701,0.372214,0.372214,0.0299014 | -0.264784,-0.0268136 | -0.955356,-0.109412
408|5.91185,0.244792,0.244792,0.0174714 | 7.26828,0.372295,0.372295,0.0299056 | -0.26467,-0.0267961 | -0.955387,-0.109385
409|5.91233,0.244813,0.244813,0.0174716 | 7.26955,0.372376,0.372376,0.0299097 | -0.264556,-0.0267786 | -0.955417,-0.109357
410|5.9128,0.244834,0.244834,0.0174718 | 7.27082,0.372457,0.372457,0.0299139 | -0.264441,-0.026761 | -0.955445,-0.10933
411|5.91327,0.244855,0.244855,0.017472 | 7.27209,0.372538,0.372538,0.0299181 | -0.264326,-0.0267435 | -0.955471,-0.109302
412|5.91375,0.244876,0.244876,0.0174722 | 7.27336,0.372619,0.372619,0.0299222 | -0.264211,-0.026726 | -0.955496,-0.109274
413|5.91422,0.244897,0.244897,0.0174723 | 7.27462,0.3727,0.3727,0.0299263 | -0.264096,-0.0267084 | -0.95552,-0.109246
414|5.91469,0.244918,0.244918,0.0174725 | 7.27589,0.372781,0.372781,0.0299305 | -0.263981,-0.0266909 | -0.955542,-0.109218
415|5.91517,0.244939,0.244939,0.0174727 | 7.27715,0.372861,0.372861,0.0299346 | -0.263865,-0.0266733 | -0.955562,-0.10919
416|5.91564,0.244959,0.244959,0.0174729 | 7.27841,0.372942,0.372942,0.0299388 | -0.26375,-0.0266557 | -0.955581,-0.109162
417|5.91611,0.24498,0.24498,0.0174731 | 7.27968,0.373023,0.373023,0.0299429 | -0.263634,-0.0266382 | -0.955599,-0.109134
418|5.91658,0.245001,0.245001,0.0174733 | 7.28094,0.373103,0.373103,0.029947 | -0.263517,-0.0266206 | -0.955615,-0.109105
419|5.91705,0.245022,0.245022,0.0174735 | 7.2822,0.373183,0.373183,0.0299511 | -0.263401,-0.026603 | -0.95563,-0.109076
420|5.91752,0.245043,0.245043,0.0174736 | 7.28346,0.373264,0.373264,0.0299553 | -0.263284,-0.0265854 | -0.955643,-0.109048
421|5.91799,0.245064,0.245064,0.0174738 | 7.28472,0.373344,0.373344,0.0299594 | -0.263167,-0.0265678 | -0.955654,-0.109019
422|5.91846,0.245084,0.245084,0.017474 | 7.28598,0.373424,0.373424,0.0299635 | -0.26305,-0.0265502 | -0.955665,-0.10899
423|5.91893,0.245105,0.245105,0.0174742 | 7.28724,0.373505,0.373505,0.0299676 | -0.262933,-0.0265326 | -0.955673,-0.108961
424|5.9194,0.245126,0.245126,0.0174744 | 7.2885,0.373585,0.373585,0.0299717 | -0.262816,-0.0265149 | -0.95568,-0.108932
425|5.91987,0.245146,0.245146,0.0174746 | 7.28976,0.373665,0.373665,0.0299758 | -0.262698,-0.0264973 | -0.955686,-0.108902
426|5.92034,0.245167,0.245167,0.0174747 | 7.29101,0.373745,0.373745,0.0299799 | -0.26258,-0.0264797 | -0.95569,-0.108873
427|5.9208,0.245188,0.245188,0.0174749 | 7.29227,0.373825,0.373825,0.029984 | -0.262462,-0.026462 | -0.955693,-0.108843
428|5.92127,0.245208,0.245208,0.0174751 | 7.29352,0.373905,0.373905,0.0299881 | -0.262344,-0.0264444 | -0.955695,-0.108814
429|5.92174,0.245229,0.245229,0.0174753 | 7.29478,0.373985,0.373985,0.0299922 | -0.262225,-0.0264267 | -0.955694,-0.108784
430|5.9222,0.24525,0.24525,0.0174755 | 7.29603,0.374065,0.374065,0.0299963 | -0.262106,-0.0264091 | -0.955693,-0.108754
431|5.92267,0.24527,0.24527,0.0174756 | 7.29728,0.374144,0.374144,0.0300004 | -0.261988,-0.0263914 | -0.95569,-0.108724
432|5.92314,0.245291,0.245291,0.0174758 | 7.29853,0.374224,0.374224,0.0300045 | -0.261868,-0.0263737 | -0.955685,-0.108694
433|5.9236,0.245311,0.245311,0.017476 | 7.29979,0.374304,0.374304,0.0300085 | -0.261749,-0.0263561 | -0.955679,-0.108663
434|5.92407,0.245332,0.245332,0.0174762 | 7.30104,0.374383,0.374383,0.0300126 | -0.26163,-0.0263384 | -0.955671,-0.108633
435|5.92453,0.245352,0.245352,0.0174763 | 7.30229,0.374463,0.374463,0.0300167 | -0.26151,-0.0263207 | -0.955662,-0.108603
436|5.92499,0.245373,0.245373,0.0174765 | 7.30353,0.374542,0.374542,0.0300207 | -0.26139,-0.026303 | -0.955652,-0.108572
437|5.92546,0.245393,0.245393,0.0174767 | 7.30478,0.374622,0.374622,0.0300248 | -0.26127,-0.0262853 | -0.95564,-0.108541
438|5.92592,0.245413,0.245413,0.0174769 | 7.30603,0.374701,0.374701,0.0300289 | -0.26115,-0.0262676 | -0.955627,-0.10851
439|5.92638,0.245434,0.245434,0.0174771 | 7.30728,0.37478,0.37478,0.0300329 | -0.261029,-0.0262499 | -0.955612,-0.108479
440|5.92684,0.245454,0.245454,0.0174772 | 7.30852,0.374859,0.374859,0.030037 | -0.260908,-0.0262322 | -0.955595,-0.108448
441|5.92731,0.245474,0.245474,0.0174774 | 7.30977,0.374938,0.374938,0.030041 | -0.260788,-0.0262144 | -0.955578,-0.108417
442|5.92777,0.245495,0.245495,0.0174776 | 7.31101,0.375018,0.375018,0.0300451 | -0.260666,-0.0261967 | -0.955558,-0.108386
443|5.92823,0.245515,0.245515,0.0174777 | 7.31225,0.375097,0.375097,0.0300491 | -0.260545,-0.026179 | -0.955537,-0.108355
444|5.92869,0.245535,0.245535,0.0174779 | 7.3135,0.375176,0.375176,0.0300531 | -0.260424,-0.0261612 | -0.955515,-0.108323
445|5.92915,0.245556,0.245556,0.0174781 | 7.31474,0.375254,0.375254,0.0300572 | -0.260302,-0.0261435 | -0.955492,-0.108291
446|5.92961,0.245576,0.245576,0.0174783 | 7.31598,0.375333,0.375333,0.0300612 | -0.26018,-0.0261257 | -0.955466,-0.10826
447|5.93007,0.245596,0.245596,0.0174784 | 7.31722,0.375412,0.375412,0.0300652 | -0.260058,-0.026108 | -0.95544,-0.108228
448|5.93053,0.245616,0.245616,0.0174786 | 7.31846,0.375491,0.375491,0.0300693 | -0.259936,-0.0260902 | -0.955412,-0.108196
449|5.93098,0.245636,0.245636,0.0174788 | 7.31969,0.375569,0.375569,0.0300733 | -0.259813,-0.0260724 | -0.955382,-0.108164
450|5.93144,0.245656,0.245656,0.017479 | 7.32093,0.375648,0.375648,0.0300773 | -0.259691,-0.0260547 | -0.955351,-0.108131
451|5.9319,0.245677,0.245677,0.0174791 | 7.32217,0.375727,0.375727,0.0300813 | -0.259568,-0.0260369 | -0.955319,-0.108099
452|5.93236,0.245697,0.245697,0.0174793 | 7.3234,0.375805,0.375805,0.0300853 | -0.259445,-0.0260191 | -0.955285,-0.108067
453|5.93281,0.245717,0.245717,0.0174795 | 7.32464,0.375883,0.375883,0.0300893 | -0.259322,-0.0260013 | -0.95525,-0.108034
454|5.93327,0.245737,0.245737,0.0174796 | 7.32587,0.375962,0.375962,0.0300933 | -0.259198,-0.0259835 | -0.955213,-0.108002
455|5.93373,0.245757,0.245757,0.0174798 | 7.32711,0.37604,0.37604,0.0300973 | -0.259075,-0.0259657 | -0.955175,-0.107969
456|5.93418,0.245777,0.245777,0.01748 | 7.32834,0.376118,0.376118,0.0301013 | -0.258951,-0.0259479 | -0.955135,-0.107936
457|5.93464,0.245797,0.245797,0.0174801 | 7.32957,0.376196,0.376196,0.0301053 | -0.258827,-0.0259301 | -0.955094,-0.107903
458|5.93509,0.245817,0.245817,0.0174803 | 7.3308,0.376275,0.376275,0.0301093 | -0.258703,-0.0259123 | -0.955051,-0.10787
459|5.93554,0.245837,0.245837,0.0174805 | 7.33203,0.376353,0.376353,0.0301133 | -0.258578,-0.0258945 | -0.955007,-0.107837
460|5.936,0.245856,0.245856,0.0174806 | 7.33326,0.376431,0.376431,0.0301173 | -0.258454,-0.0258767 | -0.954962,-0.107803
461|5.93645,0.245876,0.245876,0.0174808 | 7.33449,0.376508,0.376508,0.0301213 | -0.258329,-0.0258589 | -0.954915,-0.10777
462|5.9369,0.245896,0.245896,0.017481 | 7.33572,0.376586,0.376586,0.0301252 | -0.258204,-0.025841 | -0.954867,-0.107736
463|5.93736,0.245916,0.245916,0.0174811 | 7.33694,0.376664,0.376664,0.0301292 | -0.258079,-0.0258232 | -0.954817,-0.107703
464|5.93781,0.245936,0.245936,0.0174813 | 7.33817,0.376742,0.376742,0.0301332 | -0.257954,-0.0258053 | -0.954766,-0.107669
465|5.93826,0.245956,0.245956,0.0174815 | 7.33939,0.376819,0.376819,0.0301371 | -0.257828,-0.0257875 | -0.954713,-0.107635
466|5.93871,0.245975,0.245975,0.0174816 | 7.34062,0.376897,0.376897,0.0301411 | -0.257703,-0.0257697 | -0.954659,-0.107601
467|5.93916,0.245995,0.245995,0.0174818 | 7.34184,0.376975,0.376975,0.030145 | -0.257577,-0.0257518 | -0.954603,-0.107567
468|5.93961,0.246015,0.246015,0.017482 | 7.34306,0.377052,0.377052,0.030149 | -0.257451,-0.0257339 | -0.954546,-0.107533
469|5.94006,0.246035,0.246035,0.0174821 | 7.34429,0.377129,0.377129,0.0301529 | -0.257325,-0.0257161 | -0.954488,-0.107499
470|5.94051,0.246054,0.246054,0.0174823 | 7.34551,0.377207,0.377207,0.0301569 | -0.257198,-0.0256982 | -0.954428,-0.107464
471|5.94096,0.246074,0.246074,0.0174825 | 7.34673,0.377284,0.377284,0.0301608 | -0.257072,-0.0256804 | -0.954367,-0.10743
472|5.94141,0.246094,0.246094,0.0174826 | 7.34794,0.377361,0.377361,0.0301648 | -0.256945,-0.0256625 | -0.954304,-0.107395
473|5.94185,0.246113,0.246113,0.0174828 | 7.34916,0.377438,0.377438,0.0301687 | -0.256818,-0.0256446 | -0.95424,-0.10736
474|5.9423,0.246133,0.246133,0.0174829 | 7.35038,0.377516,0.377516,0.0301726 | -0.256691,-0.0256267 | -0.954174,-0.107325
475|5.94275,0.246152,0.246152,0.0174831 | 7.3516,0.377593,0.377593,0.0301766 | -0.256564,-0.0256088 | -0.954107,-0.10729
476|5.94319,0.246172,0.246172,0.0174833 | 7.35281,0.377669,0.377669,0.0301805 | -0.256436,-0.0255909 | -0.954039,-0.107255
477|5.94364,0.246191,0.246191,0.0174834 | 7.35403,0.377746,0.377746,0.0301844 | -0.256309,-0.0255731 | -0.953969,-0.10722
478|5.94409,0.246211,0.246211,0.0174836 | 7.35524,0.377823,0.377823,0.0301883 | -0.256181,-0.0255552 | -0.953898,-0.107185
479|5.94453,0.24623,0.24623,0.0174837 | 7.35645,0.3779,0.3779,0.0301922 | -0.256053,-0.0255373 | -0.953825,-0.10715
480|5.94498,0.24625,0.24625,0.0174839 | 7.35766,0.377977,0.377977,0.0301961 | -0.255925,-0.0255194 | -0.953751,-0.107114
481|5.94542,0.246269,0.246269,0.0174841 | 7.35887,0.378053,0.378053,0.0302 | -0.255796,-0.0255014 | -0.953675,-0.107078
482|5.94586,0.246289,0.246289,0.0174842 | 7.36008,0.37813,0.37813,0.0302039 | -0.255668,-0.0254835 | -0.953598,-0.107043
483|5.94631,0.246308,0.246308,0.0174844 | 7.36129,0.378206,0.378206,0.0302078 | -0.255539,-0.0254656 | -0.95352,-0.107007
484|5.94675,0.246327,0.246327,0.0174845 | 7.3625,0.378283,0.378283,0.0302117 | -0.25541,-0.0254477 | -0.95344,-0.106971
485|5.94719,0.246347,0.246347,0.0174847 | 7.36371,0.378359,0.378359,0.0302156 | -0.255281,-0.0254298 | -0.953359,-0.106935
486|5.94764,0.246366,0.246366,0.0174849 | 7.36492,0.378435,0.378435,0.0302195 | -0.255152,-0.0254118 | -0.953276,-0.106899
487|5.94808,0.246385,0.246385,0.017485 | 7.36612,0.378512,0.378512,0.0302234 | -0.255023,-0.0253939 | -0.953192,-0.106863
488|5.94852,0.246404,0.246404,0.0174852 | 7.36733,0.378588,0.378588,0.0302273 | -0.254893,-0.025376 | -0.953107,-0.106826
489|5.94896,0.246424,0.246424,0.0174853 | 7.36853,0.378664,0.378664,0.0302311 | -0.254764,-0.0253581 | -0.95302,-0.10679
490|5.9494,0.246443,0.246443,0.0174855 | 7.36973,0.37874,0.37874,0.030235 | -0.254634,-0.0253401 | -0.952932,-0.106753
491|5.94984,0.246462,0.246462,0.0174856 | 7.37093,0.378816,0.378816,0.0302389 | -0.254504,-0.0253222 | -0.952842,-0.106717
492|5.95028,0.246481,0.246481,0.0174858 | 7.37214,0.378892,0.378892,0.0302427 | -0.254374,-0.0253042 | -0.952751,-0.10668
493|5.95072,0.2465,0.2465,0.0174859 | 7.37334,0.378967,0.378967,0.0302466 | -0.254243,-0.0252863 | -0.952659,-0.106643
494|5.95116,0.246519,0.246519,0.0174861 | 7.37453,0.379043,0.379043,0.0302504 | -0.254113,-0.0252683 | -0.952565,-0.106606
495|5.9516,0.246539,0.246539,0.0174862 | 7.37573,0.379119,0.379119,0.0302543 | -0.253982,-0.0252504 | -0.952469,-0.106569
496|5.95203,0.246558,0.246558,0.0174864 | 7.37693,0.379195,0.379195,0.0302581 | -0.253851,-0.0252324 | -0.952373,-0.106532
497|5.95247,0.246577,0.246577,0.0174866 | 7.37813,0.37927,0.37927,0.030262 | -0.25372,-0.0252145 | -0.952275,-0.106495
498|5.95291,0.246596,0.246596,0.0174867 | 7.37932,0.379346,0.379346,0.0302658 | -0.253589,-0.0251965 | -0.952175,-0.106457
499|5.95334,0.246615,0.246615,0.0174869 | 7.38052,0.379421,0.379421,0.0302697 | -0.253458,-0.0251785 | -0.952074,-0.10642
500|5.95378,0.246634,0.246634,0.017487 | 7.38171,0.379496,0.379496,0.0302735 | -0.253326,-0.0251606 | -0.951972,-0.106382
501|5.95421,0.246653,0.246653,0.0174872 | 7.3829,0.379572,0.379572,0.0302773 | -0.253195,-0.0251426 | -0.951868,-0.106345
502|5.95465,0.246672,0.246672,0.0174873 | 7.38409,0.379647,0.379647,0.0302811 | -0.253063,-0.0251246 | -0.951763,-0.106307
503|5.95508,0.24669,0.24669,0.0174875 | 7.38528,0.379722,0.379722,0.030285 | -0.252931,-0.0251066 | -0.951657,-0.106269
504|5.95552,0.246709,0.246709,0.0174876 | 7.38647,0.379797,0.379797,0.0302888 | -0.252798,-0.0250886 | -0.951549,-0.106231
505|5.95595,0.246728,0.246728,0.0174878 | 7.38766,0.379872,0.379872,0.0302926 | -0.252666,-0.0250706 | -0.95144,-0.106193
506|5.95638,0.246747,0.246747,0.0174879 | 7.38885,0.379947,0.379947,0.0302964 | -0.252533,-0.0250526 | -0.951329,-0.106155
507|5.95682,0.246766,0.246766,0.0174881 | 7.39004,0.380022,0.380022,0.0303002 | -0.252401,-0.0250346 | -0.951217,-0.106116
508|5.95725,0.246785,0.246785,0.0174882 | 7.39122,0.380097,0.380097,0.030304 | -0.252268,-0.0250166 | -0.951104,-0.106078
509|5.95768,0.246803,0.246803,0.0174884 | 7.39241,0.380171,0.380171,0.0303078 | -0.252134,-0.0249986 | -0.950989,-0.106039
510|5.95811,0.246822,0.246822,0.0174885 | 7.39359,0.380246,0.380246,0.0303116 | -0.252001,-0.0249805 | -0.950873,-0.106001
511|5.95854,0.246841,0.246841,0.0174887 | 7.39478,0.380321,0.380321,0.0303154 | -0.251868,-0.0249625 | -0.950756,-0.105962
512|5.95897,0.24686,0.24686,0.0174888 | 7.39596,0.380395,0.380395,0.0303192 | -0.251734,-0.0249445 | -0.950637,-0.105923
513|5.9594,0.246878,0.246878,0.017489 | 7.39714,0.38047,0.38047,0.030323 | -0.2516,-0.0249264 | -0.950517,-0.105885
514|5.95983,0.246897,0.246897,0.0174891 | 7.39832,0.380544,0.380544,0.0303267 | -0.251466,-0.0249084 | -0.950395,-0.105846
515|5.96026,0.246916,0.246916,0.0174892 | 7.3995,0.380618,0.380618,0.0303305 | -0.251332,-0.0248903 | -0.950272,-0.105807
516|5.96069,0.246934,0.246934,0.0174894 | 7.40068,0.380693,0.380693,0.0303343 | -0.251197,-0.0248723 | -0.950148,-0.105767
517|5.96112,0.246953,0.246953,0.0174895 | 7.40185,0.380767,0.380767,0.030338 | -0.251063,-0.0248542 | -0.950023,-0.105728
518|5.96155,0.246971,0.246971,0.0174897 | 7.40303,0.380841,0.380841,0.0303418 | -0.250928,-0.0248361 | -0.949896,-0.105689
519|5.96197,0.24699,0.24699,0.0174898 | 7.40421,0.380915,0.380915,0.0303456 | -0.250793,-0.024818 | -0.949767,-0.105649
520|5.9624,0.247008,0.247008,0.01749 | 7.40538,0.380989,0.380989,0.0303493 | -0.250658,-0.0248 | -0.949637,-0.10561
521|5.96283,0.247027,0.247027,0.0174901 | 7.40655,0.381063,0.381063,0.0303531 | -0.250523,-0.0247819 | -0.949506,-0.10557
522|5.96325,0.247045,0.247045,0.0174903 | 7.40773,0.381137,0.381137,0.0303568 | -0.250387,-0.0247638 | -0.949374,-0.10553
523|5.96368,0.247064,0.247064,0.0174904 | 7.4089,0.38121,0.38121,0.0303606 | -0.250251,-0.0247457 | -0.94924,-0.105491
524|5.9641,0.247082,0.247082,0.0174905 | 7.41007,0.381284,0.381284,0.0303643 | -0.250116,-0.0247276 | -0.949105,-0.105451
525|5.96453,0.247101,0.247101,0.0174907 | 7.41124,0.381358,0.381358,0.030368 | -0.24998,-0.0247095 | -0.948969,-0.105411
526|5.96495,0.247119,0.247119,0.0174908 | 7.41241,0.381431,0.381431,0.0303718 | -0.249844,-0.0246914 | -0.948831,-0.105371
527|5.96537,0.247137,0.247137,0.017491 | 7.41357,0.381505,0.381505,0.0303755 | -0.249707,-0.0246733 | -0.948692,-0.10533
528|5.9658,0.247156,0.247156,0.0174911 | 7.41474,0.381578,0.381578,0.0303792 | -0.249571,-0.0246551 | -0.948551,-0.10529
529|5.96622,0.247174,0.247174,0.0174913 | 7.41591,0.381651,0.381651,0.0303829 | -0.249434,-0.024637 | -0.948409,-0.10525
530|5.96664,0.247192,0.247192,0.0174914 | 7.41707,0.381725,0.381725,0.0303866 | -0.249297,-0.0246189 | -0.948266,-0.105209
531|5.96706,0.247211,0.247211,0.0174915 | 7.41823,0.381798,0.381798,0.0303903 | -0.24916,-0.0246008 | -0.948121,-0.105168
532|5.96749,0.247229,0.247229,0.0174917 | 7.4194,0.381871,0.381871,0.0303941 | -0.249023,-0.0245826 | -0.947976,-0.105128
533|5.96791,0.247247,0.247247,0.0174918 | 7.42056,0.381944,0.381944,0.0303978 | -0.248886,-0.0245645 | -0.947828,-0.105087
534|5.96833,0.247265,0.247265,0.017492 | 7.42172,0.382017,0.382017,0.0304015 | -0.248749,-0.0245463 | -0.94768,-0.105046
535|5.96875,0.247283,0.247283,0.0174921 | 7.42288,0.38209,0.38209,0.0304051 | -0.248611,-0.0245282 | -0.94753,-0.105005
536|5.96917,0.247302,0.247302,0.0174922 | 7.42404,0.382163,0.382163,0.0304088 | -0.248473,-0.02451 | -0.947379,-0.104964
537|5.96958,0.24732,0.24732,0.0174924 | 7.42519,0.382235,0.382235,0.0304125 | -0.248335,-0.0244919 | -0.947226,-0.104923
538|5.97,0.247338,0.247338,0.0174925 | 7.42635,0.382308,0.382308,0.0304162 | -0.248197,-0.0244737 | -0.947072,-0.104882
539|5.97042,0.247356,0.247356,0.0174927 | 7.42751,0.382381,0.382381,0.0304199 | -0.248059,-0.0244556 | -0.946917,-0.10484
540|5.97084,0.247374,0.247374,0.0174928 | 7.42866,0.382453,0.382453,0.0304236 | -0.24792,-0.0244374 | -0.946761,-0.104799
541|5.97125,0.247392,0.247392,0.0174929 | 7.42981,0.382526,0.382526,0.0304272 | -0.247782,-0.0244192 | -0.946603,-0.104757
542|5.97167,0.24741,0.24741,0.0174931 | 7.43097,0.382598,0.382598,0.0304309 | -0.247643,-0.0244011 | -0.946444,-0.104716
543|5.97209,0.247428,0.247428,0.0174932 | 7.43212,0.38267,0.38267,0.0304346 | -0.247504,-0.0243829 | -0.946283,-0.104674
544|5.9725,0.247446,0.247446,0.0174933 | 7.43327,0.382743,0.382743,0.0304382 | -0.247365,-0.0243647 | -0.946121,-0.104632
545|5.97292,0.247464,0.247464,0.0174935 | 7.43442,0.382815,0.382815,0.0304419 | -0.247226,-0.0243465 | -0.945958,-0.10459
546|5.97333,0.247482,0.247482,0.0174936 | 7.43557,0.382887,0.382887,0.0304455 | -0.247087,-0.0243283 | -0.945794,-0.104548
547|5.97375,0.2475,0.2475,0.0174938 | 7.43671,0.382959,0.382959,0.0304492 | -0.246947,-0.0243102 | -0.945628,-0.104506
548|5.97416,0.247518,0.247518,0.0174939 | 7.43786,0.383031,0.383031,0.0304528 | -0.246808,-0.024292 | -0.945461,-0.104464
549|5.97457,0.247535,0.247535,0.017494 | 7.439,0.383103,0.383103,0.0304564 | -0.246668,-0.0242738 | -0.945293,-0.104422
550|5.97499,0.247553,0.247553,0.0174942 | 7.44015,0.383175,0.383175,0.0304601 | -0.246528,-0.0242556 | -0.945123,-0.10438
551|5.9754,0.247571,0.247571,0.0174943 | 7.44129,0.383246,0.383246,0.0304637 | -0.246388,-0.0242374 | -0.944952,-0.104337
552|5.97581,0.247589,0.247589,0.0174944 | 7.44243,0.383318,0.383318,0.0304673 | -0.246247,-0.0242192 | -0.94478,-0.104295
553|5.97622,0.247607,0.247607,0.0174946 | 7.44357,0.38339,0.38339,0.030471 | -0.246107,-0.024201 | -0.944606,-0.104252
554|5.97663,0.247624,0.247624,0.0174947 | 7.44471,0.383461,0.383461,0.0304746 | -0.245966,-0.0241827 | -0.944432,-0.104209
555|5.97704,0.247642,0.247642,0.0174948 | 7.44585,0.383533,0.383533,0.0304782 | -0.245826,-0.0241645 | -0.944255,-0.104167
556|5.97745,0.24766,0.24766,0.017495 | 7.44699,0.383604,0.383604,0.0304818 | -0.245685,-0.0241463 | -0.944078,-0.104124
557|5.97786,0.247677,0.247677,0.0174951 | 7.44813,0.383675,0.383675,0.0304854 | -0.245544,-0.0241281 | -0.943899,-0.104081
558|5.97827,0.247695,0.247695,0.0174952 | 7.44926,0.383747,0.383747,0.030489 | -0.245403,-0.0241099 | -0.943719,-0.104038
559|5.97868,0.247713,0.247713,0.0174954 | 7.4504,0.383818,0.383818,0.0304926 | -0.245261,-0.0240917 | -0.943538,-0.103995
560|5.97909,0.24773,0.24773,0.0174955 | 7.45153,0.383889,0.383889,0.0304962 | -0.24512,-0.0240734 | -0.943355,-0.103951
561|5.9795,0.247748,0.247748,0.0174956 | 7.45266,0.38396,0.38396,0.0304998 | -0.244978,-0.0240552 | -0.943172,-0.103908
562|5.9799,0.247765,0.247765,0.0174958 | 7.4538,0.384031,0.384031,0.0305034 | -0.244836,-0.024037 | -0.942987,-0.103865
563|5.98031,0.247783,0.247783,0.0174959 | 7.45493,0.384102,0.384102,0.0305069 | -0.244694,-0.0240187 | -0.9428,-0.103821
564|5.98072,0.2478,0.2478,0.017496 | 7.45606,0.384172,0.384172,0.0305105 | -0.244552,-0.0240005 | -0.942612,-0.103778
565|5.98112,0.247818,0.247818,0.0174961 | 7.45718,0.384243,0.384243,0.0305141 | -0.24441,-0.0239822 | -0.942423,-0.103734
