 I    | PH(0 0), PH(0 1), PH(1 0), PH(1 1)  | PR(0 0), PR(0 1), PR(1 0), PR(1 1)  | AH(0), AH(1)  | AR(0), AR(1)
1131|6.09412,0.249708,0.249708,0.0170471 | 7.92894,0.415066,0.415066,0.0323268 | -0.140734,-0.0133794 | -0.742438,-0.0755092
1132|6.0935,0.249642,0.249642,0.0170405 | 7.93007,0.415168,0.415168,0.0323362 | -0.140579,-0.013369 | -0.742184,-0.0754669
1133|6.09288,0.249574,0.249574,0.0170337 | 7.9312,0.415271,0.415271,0.0323457 | -0.140426,-0.0133588 | -0.741931,-0.0754246
1134|6.09224,0.249506,0.249506,0.017027 | 7.93235,0.415375,0.415375,0.0323554 | -0.140274,-0.0133487 | -0.741679,-0.0753821
1135|6.0916,0.249437,0.249437,0.0170201 | 7.93352,0.415481,0.415481,0.0323651 | -0.140123,-0.0133388 | -0.741426,-0.0753395
1136|6.09094,0.249368,0.249368,0.0170133 | 7.9347,0.415588,0.415588,0.032375 | -0.139974,-0.0133291 | -0.741174,-0.0752969
1137|6.09027,0.249297,0.249297,0.0170063 | 7.9359,0.415697,0.415697,0.032385 | -0.139827,-0.0133195 | -0.740923,-0.0752541
1138|6.08959,0.249226,0.249226,0.0169993 | 7.93711,0.415807,0.415807,0.0323952 | -0.13968,-0.0133101 | -0.740671,-0.0752113
1139|6.0889,0.249154,0.249154,0.0169923 | 7.93833,0.415918,0.415918,0.0324055 | -0.139535,-0.0133009 | -0.74042,-0.0751683
1140|6.0882,0.249081,0.249081,0.0169852 | 7.93958,0.416031,0.416031,0.0324159 | -0.139392,-0.0132918 | -0.740169,-0.0751252
1141|6.08749,0.249007,0.249007,0.016978 | 7.94083,0.416146,0.416146,0.0324265 | -0.13925,-0.0132829 | -0.739918,-0.075082
1142|6.08677,0.248933,0.248933,0.0169708 | 7.94211,0.416262,0.416262,0.0324371 | -0.13911,-0.0132742 | -0.739667,-0.0750387
1143|6.08604,0.248858,0.248858,0.0169636 | 7.9434,0.41638,0.41638,0.032448 | -0.138972,-0.0132657 | -0.739416,-0.0749953
1144|6.08529,0.248782,0.248782,0.0169563 | 7.94472,0.4165,0.4165,0.032459 | -0.138834,-0.0132573 | -0.739165,-0.0749518
1145|6.08454,0.248705,0.248705,0.0169489 | 7.94604,0.416621,0.416621,0.0324701 | -0.138699,-0.0132492 | -0.738915,-0.0749081
1146|6.08377,0.248627,0.248627,0.0169415 | 7.94739,0.416743,0.416743,0.0324814 | -0.138565,-0.0132412 | -0.738664,-0.0748643
1147|6.08299,0.248549,0.248549,0.0169341 | 7.94876,0.416868,0.416868,0.0324928 | -0.138433,-0.0132334 | -0.738413,-0.0748203
1148|6.08221,0.24847,0.24847,0.0169266 | 7.95014,0.416994,0.416994,0.0325043 | -0.138302,-0.0132257 | -0.738163,-0.0747762
1149|6.08141,0.24839,0.24839,0.016919 | 7.95155,0.417122,0.417122,0.0325161 | -0.138173,-0.0132183 | -0.737912,-0.074732
1150|6.0806,0.24831,0.24831,0.0169114 | 7.95297,0.417252,0.417252,0.0325279 | -0.138046,-0.013211 | -0.737661,-0.0746876
1151|6.07978,0.248228,0.248228,0.0169038 | 7.95442,0.417384,0.417384,0.03254 | -0.13792,-0.013204 | -0.73741,-0.0746431
1152|6.07895,0.248146,0.248146,0.0168961 | 7.95589,0.417518,0.417518,0.0325522 | -0.137796,-0.0131971 | -0.737159,-0.0745984
1153|6.0781,0.248064,0.248064,0.0168884 | 7.95738,0.417653,0.417653,0.0325645 | -0.137674,-0.0131904 | -0.736907,-0.0745536
1154|6.07725,0.24798,0.24798,0.0168806 | 7.95889,0.417791,0.417791,0.0325771 | -0.137553,-0.0131839 | -0.736655,-0.0745086
1155|6.07639,0.247896,0.247896,0.0168728 | 7.96042,0.41793,0.41793,0.0325898 | -0.137435,-0.0131776 | -0.736403,-0.0744634
1156|6.07551,0.247811,0.247811,0.0168649 | 7.96198,0.418072,0.418072,0.0326026 | -0.137318,-0.0131715 | -0.736151,-0.0744181
1157|6.07463,0.247726,0.247726,0.016857 | 7.96356,0.418215,0.418215,0.0326156 | -0.137203,-0.0131656 | -0.735898,-0.0743725
1158|6.07374,0.247639,0.247639,0.0168491 | 7.96516,0.418361,0.418361,0.0326288 | -0.137089,-0.0131599 | -0.735645,-0.0743269
1159|6.07283,0.247552,0.247552,0.0168412 | 7.96679,0.418508,0.418508,0.0326422 | -0.136978,-0.0131544 | -0.735392,-0.074281
1160|6.07191,0.247465,0.247465,0.0168332 | 7.96844,0.418658,0.418658,0.0326558 | -0.136868,-0.0131491 | -0.735138,-0.0742349
1161|6.07099,0.247377,0.247377,0.0168251 | 7.97012,0.418811,0.418811,0.0326695 | -0.13676,-0.013144 | -0.734883,-0.0741887
1162|6.07005,0.247288,0.247288,0.0168171 | 7.97182,0.418965,0.418965,0.0326834 | -0.136655,-0.0131391 | -0.734628,-0.0741422
1163|6.06911,0.247198,0.247198,0.016809 | 7.97355,0.419122,0.419122,0.0326975 | -0.136551,-0.0131344 | -0.734373,-0.0740956
1164|6.06815,0.247108,0.247108,0.0168008 | 7.97531,0.419281,0.419281,0.0327118 | -0.136449,-0.01313 | -0.734116,-0.0740487
1165|6.06718,0.247018,0.247018,0.0167927 | 7.9771,0.419442,0.419442,0.0327263 | -0.136348,-0.0131257 | -0.733859,-0.0740017
